League,RivalryName,Rivalry,Team1Full,Team1,Team2Full,Team2,Logo,Established
TRUFFLE,1-800-Flowers Granddaddy of Them All,Granddaddy,Cypress Ridge Blossoms,CRB,Frankfurt Roadrunners,FRR,www/graphics/rivalrylogos/granddaddy.png,2015
TRUFFLE,Bass Pro Shops Fish-ti-cuffs,Fish-ti-cuffs,Madison Muskellunge,MAM,White Lake Whales,WLW,www/graphics/rivalrylogos/fishticuffs.png,2021
TRUFFLE,Butterball Bird Brawl,BirdBrawl,East Lansing Puffins,ELP,Grandville Flamingos,GF,www/graphics/rivalrylogos/birdbrawl.png,2020
TRUFFLE,Tupperware Leftovers Bowl,Leftovers,Arctic Fighting Lemurloos,AFL,Clarkston Chuckers,CC,www/graphics/rivalrylogos/leftovers.png,2020
TRUFFLE,Walt Disney's Pirates of the Canadienne,Canadienne,McLean Marauders,MCM,Naples Nordiques,NN,www/graphics/rivalrylogos/pirates.png,2020
TRUFFLE,Monster Energy Monster Mash,MonsterMash,Midway Monsters,MWM,Virginia Dragons,VD,www/graphics/rivalrylogos/monstermash.png,2015
KERFUFFLE,Edward Latymer's West London Derby,Derby,Acton Park Bull Terriers,ABT,Devoe Day-Drinkers,DDD,www/graphics/rivalrylogos/derby.png,2024
KERFUFFLE,"Aaron Rodgers' Property Bowl, Presented by State Farm",Rodgers,Chi-Town Lantern Cows,CLC,Louisville Colonels,LC,www/graphics/rivalrylogos/rodgers.png,2024
KERFUFFLE,Lehman Brothers Bonus Bowl,Bonus,Cooper Park Centurions,CPC,Peachtree City Panthers,PCP,www/graphics/rivalrylogos/bonus.png,2024
KERFUFFLE,Sports Illustrated Almanac Bowl,Almanac,Laguna Beach Cougars,LBC,Shepherd's Bush Sheeple,SBS,www/graphics/rivalrylogos/almanac.png,2024
KERFUFFLE,Duolingo Habibi Bowl,Habibi,Monowi Bandits,MB,North Brooklyn Bears,NBB,www/graphics/rivalrylogos/habibi.png,2024
KERFUFFLE,MANSCAPED Neckbeard Bowl,Neckbeard,Posen Potatoheads,PP,Rangoon Raccoons,RR,www/graphics/rivalrylogos/neckbeard.png,2024
